kingdom,king_rank,king_name_cn,king_name_en,start_year,end_year,score,dp_score,duration,book,mentioned_times,score_reason,main_story
统一王国,1,扫罗,Saul,-1050,-1010,0.5,-2,40年,撒母耳记上&撒母耳记下&历代志上,132,作为以色列的首任君主，扫罗开始时获得了广泛支持，但后来由于嫉妒和不服从上帝的命令，他的统治逐渐变得不稳定。,成为以色列的第一任国王，由先知撒母耳膏立；带领以色列对抗非利士人；因违背神的命令而被神弃绝，后在与非利士人的战斗中自杀
统一王国,2,大卫,David,-1010,-970,1.8,2,40年,撒母耳记上&撒母耳记下&列王记上&历代志上&历代志下&诗篇等,1000以上,大卫被广泛认为是以色列最伟大的王之一，统一了以色列，建立了耶路撒冷作为首都。然而，他的统治也有其缺点，例如与拔示巴的事件。,被撒母耳膏立为王，在战胜巨人歌利亚后声名鹊起；成为以色列统一的第二任国王，建立耶路撒冷为首都；扩展以色列的疆域，制定了许多宗教和行政制度
统一王国,3,所罗门,Solomon,-970,-931,1.5,1,40年,撒母耳记下&列王记上&历代志上&历代志下&箴言&传道书&雅歌,272,所罗门以智慧著称，建造了第一圣殿，扩展了王国的疆域，但晚年因偶像崇拜和奢侈生活导致王国分裂。,大卫的儿子，以智慧著称；建造了耶路撒冷的第一圣殿；他的统治时期是以色列的黄金时代，但晚年因崇拜外邦神灵导致国家分裂
北国以色列,1,耶罗波安一世,JeroboamI,-931,-910,-1,-1,22年,列王记上&列王记下&历代志上&历代志下,97,耶罗波安建立了北以色列王国，但因建立偶像崇拜被视为坏王。,带领北部十个支派分裂建立以色列王国；建立金牛犊崇拜以取代耶路撒冷的圣殿敬拜
北国以色列,2,拿答,Nadab,-910,-909,-1.5,-1,2年,列王记上,10,继承父亲耶罗波安的偶像崇拜，统治时间短且不稳定。,耶罗波安一世的儿子，被巴沙杀害
北国以色列,3,巴沙,Baasha,-909,-886,-1,-1,24年,列王记上&列王记下&历代志上&历代志下,27,通过政变上台，同样因偶像崇拜被视为不忠于上帝。,弑拿答自立为王，持续与犹大国作战
北国以色列,4,以拉,Elah,-886,-885,-1.5,-1,2年,列王记上,7,统治短暂，缺乏显著成就，被臣下刺杀。,巴沙的儿子，被心利杀害
北国以色列,5,心利,Zimri,-885,-885,-1.5,-1,7天,列王记上,14,仅统治七天，政变后自焚而死。,弑以拉自立为王，七天后被暗利推翻，自焚而死
北国以色列,6,暗利,Omri,-885,-874,-0.5,-1,12年,列王记上&列王记下,16,建立撒马利亚为首都，政治上有成就，但宗教上背离上帝。,建立撒马利亚为首都，巩固以色列的政治和军事力量
北国以色列,7,亚哈,Ahab,-874,-853,-2,-2,22年,列王记上&列王记下,90,娶耶洗别后大力推行巴力崇拜，圣经对其评价极为负面。,暗利的儿子，与腓尼基公主耶洗别结婚，引入巴力崇拜；在迦密山与先知以利亚对峙，遭遇干旱和战争
